transaction_id,card_id,issuer_bank,acquirer_bank,channel,mcc,mcc_description,amount,currency,timestamp,city,latitude,longitude,is_fraud,fraud_pattern
TXN0035163,CARD003980,POSB,Stanbic Bank,ZIPIT,6051,Money Transfer,33.08,ZWG,2025-01-01 00:00:20,Harare,-17.82893772247307,31.081370995793744,0,none
TXN0057505,CARD003696,Steward Bank,CBZ Bank,POS,7011,Hotels,217.05,USD,2025-01-01 00:04:00,Masvingo,-20.03297689542431,30.836091556240376,0,none
TXN0010032,CARD000861,Ecobank,Stanbic Bank,POS,4814,Telecom/Airtime,110.07,ZWG,2025-01-01 00:14:29,Masvingo,-20.082438562024457,30.83155601646435,0,none
TXN0057065,CARD000302,ZB Bank,CABS,ZIPIT,6051,Money Transfer,186.22,ZWG,2025-01-01 00:15:03,Harare,-17.829270868110232,31.0590281417316,0,none
TXN0049786,CARD001176,ZB Bank,Stanbic Bank,POS,7011,Hotels,33.38,ZWG,2025-01-01 00:25:54,Harare,-17.843629661033933,31.09323850345838,0,none
TXN0045406,CARD003682,POSB,Ecobank,POS,5411,Grocery Stores,25.29,USD,2025-01-01 00:29:46,Kwekwe,-18.907271015087723,29.81286214742151,0,none
TXN0025846,CARD002655,POSB,Ecobank,POS,5311,Department Stores,23.31,ZWG,2025-01-01 00:31:20,Victoria Falls,-17.894870445734693,25.86290987696937,0,none
TXN0059182,CARD001211,BancABC,Stanbic Bank,POS,5812,Restaurants,131.23,ZWG,2025-01-01 00:31:49,Harare,-17.842873706170195,31.05928127616426,0,none
TXN0040421,CARD003730,Steward Bank,ZB Bank,POS,5651,Clothing,68.11,ZWG,2025-01-01 00:33:50,Victoria Falls,-17.949862298831675,25.846518850299866,0,none
TXN0040121,CARD000665,BancABC,Steward Bank,Mobile Money,6051,Money Transfer,43.13,ZWG,2025-01-01 00:42:54,Victoria Falls,-17.903838232111408,25.85732901146622,0,none
TXN0040145,CARD003900,POSB,FBC Bank,POS,6011,ATM/Cash Withdrawal,72.45,ZWG,2025-01-01 00:47:09,Kwekwe,-18.906572046439557,29.854636173364327,0,none
TXN0021820,CARD001094,Stanbic Bank,CABS,ATM,6011,ATM/Cash Withdrawal,124.64,ZWG,2025-01-01 00:48:40,Kwekwe,-18.920462095703286,29.82186360170862,0,none
TXN0024581,CARD003867,BancABC,FBC Bank,POS,5912,Pharmacies,266.6,USD,2025-01-01 00:52:52,Harare,-17.83884887099523,30.998296633081814,0,none
TXN0018743,CARD000633,CABS,CBZ Bank,Internet Banking,6051,Money Transfer,91.69,USD,2025-01-01 01:04:56,Gweru,-19.433174113589807,29.82970194169783,0,none
TXN0003147,CARD002077,CBZ Bank,BancABC,POS,4814,Telecom/Airtime,73.58,USD,2025-01-01 01:08:31,Bulawayo,-20.145520202010214,28.560860727886045,0,none
TXN0017250,CARD001152,Stanbic Bank,FBC Bank,ZIPIT,6051,Money Transfer,91.36,USD,2025-01-01 01:15:01,Gweru,-19.425684130054744,29.798950262042826,0,none
TXN0032900,CARD003129,FBC Bank,CABS,Mobile Money,6051,Money Transfer,72.66,ZWG,2025-01-01 01:17:50,Chinhoyi,-17.36555924493038,30.207610454218045,0,none
TXN0023111,CARD001208,FBC Bank,Stanbic Bank,ATM,6011,ATM/Cash Withdrawal,103.66,USD,2025-01-01 01:22:10,Masvingo,-20.047461399130686,30.84438117354519,0,none
TXN0006867,CARD002812,BancABC,Stanbic Bank,ZIPIT,6051,Money Transfer,52.83,USD,2025-01-01 01:25:20,Masvingo,-20.09468111926502,30.852074595896926,0,none
TXN0008482,CARD003015,Ecobank,FBC Bank,POS,6011,ATM/Cash Withdrawal,38.69,USD,2025-01-01 01:26:06,Chinhoyi,-17.364507575542678,30.214390817776174,0,none
TXN0024303,CARD002816,CBZ Bank,CBZ Bank,ZIPIT,6051,Money Transfer,69.8,USD,2025-01-01 01:30:24,Gweru,-19.469940191561733,29.812656099422718,0,none
TXN0002189,CARD000524,FBC Bank,NMB Bank,Mobile Money,6051,Money Transfer,56.99,USD,2025-01-01 01:31:59,Bulawayo,-20.16907063441332,28.607697451846036,0,none
TXN0029623,CARD003926,FBC Bank,BancABC,Mobile Money,6051,Money Transfer,316.33,USD,2025-01-01 01:36:24,Bulawayo,-20.146852010587633,28.60432112989055,0,none
TXN0019496,CARD002393,ZB Bank,Steward Bank,POS,5541,Fuel Stations,30.0,ZWG,2025-01-01 01:40:32,Kwekwe,-18.918643153117483,29.818684655920737,0,none
TXN0016327,CARD001580,Ecobank,NMB Bank,ATM,6011,ATM/Cash Withdrawal,157.01,USD,2025-01-01 01:42:40,Harare,-17.815761436896565,31.00804775052456,0,none
TXN0000704,CARD000084,POSB,BancABC,POS,5812,Restaurants,37.92,USD,2025-01-01 01:43:06,Victoria Falls,-17.95965929008164,25.883997391148043,0,none
TXN0043990,CARD003855,Steward Bank,Steward Bank,POS,5541,Fuel Stations,77.07,USD,2025-01-01 01:44:33,Victoria Falls,-17.94617224535153,25.829519630575454,0,none
TXN0047020,CARD002514,ZB Bank,Stanbic Bank,Mobile Money,6051,Money Transfer,51.2,USD,2025-01-01 01:44:34,Gweru,-19.421215490088315,29.794458174857027,0,none
TXN0005316,CARD002918,FBC Bank,Steward Bank,POS,6011,ATM/Cash Withdrawal,284.52,ZWG,2025-01-01 01:57:58,Bulawayo,-20.129105805164258,28.561045022281927,0,none
TXN0036266,CARD002107,CABS,CABS,ATM,6011,ATM/Cash Withdrawal,84.8,USD,2025-01-01 01:58:03,Mutare,-18.96207114723066,32.65015537811129,0,none
TXN0016300,CARD000963,NMB Bank,CBZ Bank,Mobile Money,6051,Money Transfer,36.71,ZWG,2025-01-01 02:02:53,Gweru,-19.412089205385936,29.822710407830556,0,none
TXN0017002,CARD000512,CABS,Ecobank,POS,7011,Hotels,59.48,ZWG,2025-01-01 02:04:19,Masvingo,-20.074428345444645,30.80626801605758,0,none
TXN0056880,CARD003560,CABS,Stanbic Bank,Mobile Money,6051,Money Transfer,59.24,ZWG,2025-01-01 02:22:26,Victoria Falls,-17.91789749102804,25.86325032389645,0,none
TXN0027615,CARD001330,Steward Bank,POSB,Mobile Money,6051,Money Transfer,226.97,ZWG,2025-01-01 02:23:30,Mutare,-18.9843791714581,32.68499096480735,0,none
TXN0044559,CARD002602,NMB Bank,Stanbic Bank,POS,5651,Clothing,41.61,USD,2025-01-01 02:32:34,Kwekwe,-18.936460844009776,29.854901653484426,0,none
TXN0030137,CARD003709,BancABC,Ecobank,Internet Banking,6051,Money Transfer,42.92,USD,2025-01-01 02:36:39,Victoria Falls,-17.954320851267305,25.811139508150198,0,none
TXN0019649,CARD000989,Steward Bank,BancABC,POS,5311,Department Stores,186.95,USD,2025-01-01 02:41:26,Gweru,-19.458287615441446,29.797428689013753,0,none
TXN0015258,CARD000409,Ecobank,BancABC,POS,7011,Hotels,176.65,USD,2025-01-01 02:46:11,Gweru,-19.474728364030373,29.79434857446092,0,none
TXN0000809,CARD002043,CABS,Stanbic Bank,POS,5311,Department Stores,27.44,ZWG,2025-01-01 02:46:53,Gweru,-19.46016224527246,29.74855438426927,0,none
TXN0037302,CARD002709,BancABC,Stanbic Bank,ZIPIT,6051,Money Transfer,40.44,USD,2025-01-01 02:56:03,Kwekwe,-18.931172995042726,29.821322758950476,0,none
TXN0019725,CARD001436,Ecobank,POSB,POS,5541,Fuel Stations,102.97,ZWG,2025-01-01 03:03:50,Gweru,-19.488892893468556,29.79742844177096,0,none
TXN0043450,CARD002710,NMB Bank,Ecobank,ATM,6011,ATM/Cash Withdrawal,79.25,ZWG,2025-01-01 03:06:35,Bulawayo,-20.110168356842102,28.606694837563484,0,none
TXN0033146,CARD002819,BancABC,CBZ Bank,Mobile Money,6051,Money Transfer,53.82,ZWG,2025-01-01 03:14:12,Harare,-17.83711093535415,31.069427908948974,0,none
TXN0057858,CARD001530,Stanbic Bank,CABS,ATM,6011,ATM/Cash Withdrawal,21.74,ZWG,2025-01-01 03:22:07,Gweru,-19.481276860828636,29.819014359791474,0,none
TXN0024861,CARD002784,FBC Bank,CABS,ATM,6011,ATM/Cash Withdrawal,169.73,USD,2025-01-01 03:24:24,Victoria Falls,-17.944789840418895,25.86800612727497,0,none
TXN0056917,CARD000537,BancABC,ZB Bank,Mobile Money,6051,Money Transfer,77.67,ZWG,2025-01-01 03:24:56,Kwekwe,-18.927845308570806,29.792540795780972,0,none
TXN0042407,CARD001701,POSB,Ecobank,ZIPIT,6051,Money Transfer,130.93,USD,2025-01-01 03:26:42,Kwekwe,-18.934375607881,29.790828091724546,0,none
TXN0050108,CARD002560,POSB,POSB,ZIPIT,6051,Money Transfer,58.3,USD,2025-01-01 03:32:53,Kwekwe,-18.905070076330006,29.805212190751966,0,none
TXN0056632,CARD002738,Ecobank,Stanbic Bank,Mobile Money,6051,Money Transfer,24.98,ZWG,2025-01-01 03:50:00,Victoria Falls,-17.930602796483107,25.863525508225116,0,none
TXN0035963,CARD003721,NMB Bank,NMB Bank,Mobile Money,6051,Money Transfer,65.62,ZWG,2025-01-01 03:50:02,Bulawayo,-20.13868993691384,28.601155927819487,0,none
TXN0051746,CARD003468,CBZ Bank,Ecobank,POS,4900,Utilities,77.78,ZWG,2025-01-01 03:53:31,Kwekwe,-18.918075177989962,29.803189871189375,0,none
TXN0048151,CARD002569,ZB Bank,Steward Bank,POS,5999,Retail - Misc,61.37,USD,2025-01-01 03:56:40,Victoria Falls,-17.925652240492077,25.846038712241178,0,none
TXN0043974,CARD001073,Ecobank,POSB,POS,5812,Restaurants,109.51,USD,2025-01-01 04:06:56,Masvingo,-20.044743357012027,30.86099210020012,0,none
TXN0022354,CARD000077,FBC Bank,BancABC,ATM,6011,ATM/Cash Withdrawal,11.46,ZWG,2025-01-01 04:13:30,Kwekwe,-18.892868325795636,29.790602862052502,0,none
TXN0047011,CARD000989,Steward Bank,Steward Bank,POS,5411,Grocery Stores,58.71,USD,2025-01-01 04:14:00,Gweru,-19.456541355199246,29.819024219974022,0,none
TXN0007675,CARD003388,BancABC,CBZ Bank,POS,5912,Pharmacies,226.75,USD,2025-01-01 04:17:02,Masvingo,-20.053932646828418,30.810923239005383,0,none
TXN0007506,CARD002799,Steward Bank,NMB Bank,POS,5311,Department Stores,24.38,USD,2025-01-01 04:21:20,Bulawayo,-20.13386287598362,28.591741040051563,0,none
TXN0040524,CARD000556,CBZ Bank,Stanbic Bank,POS,5651,Clothing,81.83,USD,2025-01-01 04:24:25,Mutare,-19.00080511234784,32.656238408911065,0,none
TXN0027316,CARD001611,CBZ Bank,Stanbic Bank,POS,5812,Restaurants,27.18,ZWG,2025-01-01 04:26:18,Chinhoyi,-17.3741217822301,30.185585201504715,0,none
TXN0035859,CARD002725,Steward Bank,Ecobank,POS,5651,Clothing,50.5,ZWG,2025-01-01 04:30:59,Gweru,-19.445115310572834,29.81019975769582,0,none
TXN0900581,CARD000996,CABS,FBC Bank,Internet Banking,5999,Retail - Misc,2.8,USD,2025-01-01 04:35:56,Bulawayo,-20.147846478535026,28.568415085201803,1,card_testing
TXN0900574,CARD000996,CABS,BancABC,Internet Banking,5999,Retail - Misc,2.59,USD,2025-01-01 04:35:57,Bulawayo,-20.155110486166038,28.591400842933623,1,card_testing
TXN0900580,CARD000996,CABS,Steward Bank,Internet Banking,5999,Retail - Misc,0.67,USD,2025-01-01 04:36:30,Bulawayo,-20.13717394127518,28.584766622227058,1,card_testing
TXN0900575,CARD000996,CABS,ZB Bank,Internet Banking,5999,Retail - Misc,2.98,USD,2025-01-01 04:37:44,Bulawayo,-20.127499410241644,28.580353165636307,1,card_testing
TXN0900584,CARD000996,CABS,BancABC,Internet Banking,5999,Retail - Misc,1.64,USD,2025-01-01 04:37:59,Bulawayo,-20.144414338847007,28.577425015027565,1,card_testing
TXN0900577,CARD000996,CABS,Ecobank,Internet Banking,5999,Retail - Misc,0.94,USD,2025-01-01 04:38:08,Bulawayo,-20.16002032857481,28.600483474989215,1,card_testing
TXN0900579,CARD000996,CABS,BancABC,Internet Banking,5999,Retail - Misc,1.2,USD,2025-01-01 04:38:58,Bulawayo,-20.15567573639069,28.591077280001382,1,card_testing
TXN0900576,CARD000996,CABS,POSB,Internet Banking,5999,Retail - Misc,2.84,USD,2025-01-01 04:38:58,Bulawayo,-20.14140077414726,28.59341145104205,1,card_testing
TXN0014993,CARD003454,BancABC,POSB,POS,4814,Telecom/Airtime,46.82,USD,2025-01-01 04:39:12,Bulawayo,-20.150623910554668,28.56149621899844,0,none
